Tract Code,Tract Income Level,Distressed (Y/N),Tract Median Fam Income,MSA Median Fam Income,2017 Median Fam Income,2015 Median Fam Income,Tract Population,Tract Minority %,Minority Pop,Owner Occupied Units,1-4 Fam Units,state,county
1028.00,Middle,No,108.43,"$73,700","$79,913","$78,125",1529,97.25,1487,268,497,36,047
1034.00,Low,No,35.30,"$73,700","$26,016","$25,438",4029,92.11,3711,0,32,36,047
1058.01,Moderate,No,51.65,"$73,700","$38,066","$37,213",6403,73.95,4735,0,45,36,047
1058.04,Low,No,48.23,"$73,700","$35,546","$34,750",6416,75.98,4875,145,149,36,047
1070.00,Middle,No,110.35,"$73,700","$81,328","$79,509",1141,99.39,1134,220,341,36,047
1078.00,Middle,No,98.46,"$73,700","$72,565","$70,938",3988,97.47,3887,957,857,36,047
1098.00,Moderate,No,65.40,"$73,700","$48,200","$47,125",2160,96.06,2075,107,553,36,047
1104.00,Middle,No,89.58,"$73,700","$66,020","$64,545",4948,98.44,4871,476,1191,36,047
1106.00,Low,No,36.89,"$73,700","$27,188","$26,583",4438,100.00,4438,8,67,36,047
1110.00,Low,No,26.25,"$73,700","$19,346","$18,915",3400,99.74,3391,9,19,36,047
1116.00,Low,No,49.77,"$73,700","$36,680","$35,863",3739,96.58,3611,253,1119,36,047
1118.00,Moderate,No,59.95,"$73,700","$44,183","$43,194",2986,98.66,2946,326,1145,36,047
1120.00,Low,No,31.25,"$73,700","$23,031","$22,520",3221,97.67,3146,294,1027,36,047
1122.00,Low,No,49.89,"$73,700","$36,769","$35,948",3755,94.43,3546,212,874,36,047
1124.00,Moderate,No,70.91,"$73,700","$52,261","$51,094",3399,99.91,3396,368,955,36,047
1126.00,Moderate,No,69.00,"$73,700","$50,853","$49,716",3826,96.16,3679,237,937,36,047
1128.00,Moderate,No,53.55,"$73,700","$39,466","$38,583",3829,94.28,3610,404,1378,36,047
1130.00,Moderate,No,56.78,"$73,700","$41,847","$40,915",4386,100.00,4386,314,904,36,047
1132.00,Moderate,No,79.18,"$73,700","$58,356","$57,054",1917,100.00,1917,375,631,36,047
1134.00,Low,No,32.53,"$73,700","$23,975","$23,438",3107,99.32,3086,34,141,36,047
1142.01,Moderate,No,73.83,"$73,700","$54,413","$53,194",1748,94.45,1651,337,593,36,047
1142.02,Moderate,No,64.39,"$73,700","$47,455","$46,392",2656,98.68,2621,256,542,36,047
1144.00,Low,No,41.81,"$73,700","$30,814","$30,129",2587,98.92,2559,107,440,36,047
1146.00,Low,No,43.09,"$73,700","$31,757","$31,047",3119,99.07,3090,239,759,36,047
1150.00,Middle,No,81.49,"$73,700","$60,058","$58,712",2776,99.39,2759,200,819,36,047
1152.00,Moderate,No,52.98,"$73,700","$39,046","$38,176",3213,99.13,3185,231,853,36,047
1156.00,Low,No,30.49,"$73,700","$22,471","$21,971",4154,99.66,4140,86,503,36,047
1158.00,Moderate,No,71.71,"$73,700","$52,850","$51,667",2938,98.54,2895,372,904,36,047
1160.00,Moderate,No,51.25,"$73,700","$37,771","$36,926",2139,100.00,2139,289,612,36,047
1162.00,Moderate,No,62.28,"$73,700","$45,900","$44,872",2073,99.81,2069,386,770,36,047
1164.00,Moderate,No,58.49,"$73,700","$43,107","$42,143",3104,98.90,3070,359,895,36,047
1166.00,Low,No,49.40,"$73,700","$36,408","$35,594",2865,97.45,2792,194,958,36,047
1168.00,Moderate,No,58.06,"$73,700","$42,790","$41,833",1579,97.21,1535,82,623,36,047
1170.00,Moderate,No,50.73,"$73,700","$37,388","$36,556",1606,96.01,1542,109,487,36,047
1172.01,Moderate,No,76.53,"$73,700","$56,403","$55,139",2536,97.56,2474,292,713,36,047
1172.02,Middle,No,81.54,"$73,700","$60,095","$58,750",3121,96.19,3002,305,1151,36,047
1174.00,Moderate,No,73.73,"$73,700","$54,339","$53,125",4268,97.54,4163,384,1408,36,047
1176.01,Moderate,No,64.77,"$73,700","$47,735","$46,667",3037,95.19,2891,202,756,36,047
1176.02,Moderate,No,52.39,"$73,700","$38,611","$37,750",2800,96.86,2712,185,933,36,047
1178.00,Moderate,No,60.82,"$73,700","$44,824","$43,819",1665,97.84,1629,110,558,36,047
1180.00,Unknown,No,0.00,"$73,700",$0,$0,0,0.00,0,0,0,36,047
1182.01,Moderate,No,68.37,"$73,700","$50,389","$49,259",3054,93.88,2867,203,917,36,047
1182.02,Moderate,No,64.83,"$73,700","$47,780","$46,713",2765,93.63,2589,362,958,36,047
1184.00,Moderate,No,70.28,"$73,700","$51,796","$50,638",5428,93.85,5094,586,1713,36,047
1186.00,Moderate,No,50.72,"$73,700","$37,381","$36,546",2790,94.30,2631,263,932,36,047
1188.00,Moderate,No,51.38,"$73,700","$37,867","$37,024",4519,96.68,4369,242,1104,36,047
1190.00,Low,No,43.59,"$73,700","$32,126","$31,411",2611,99.43,2596,213,629,36,047
1192.00,Moderate,No,60.97,"$73,700","$44,935","$43,929",3231,97.12,3138,272,1090,36,047
1194.00,Moderate,No,58.51,"$73,700","$43,122","$42,157",3626,100.00,3626,371,1240,36,047
1196.00,Moderate,No,50.68,"$73,700","$37,351","$36,519",4864,99.42,4836,416,1564,36,047
1198.00,Low,No,42.42,"$73,700","$31,264","$30,565",3538,97.12,3436,133,844,36,047
1200.00,Low,No,47.64,"$73,700","$35,111","$34,327",2230,94.71,2112,135,544,36,047
1202.00,Moderate,No,70.96,"$73,700","$52,298","$51,125",2057,93.29,1919,257,531,36,047
1208.00,Moderate,No,53.10,"$73,700","$39,135","$38,264",8566,98.65,8450,641,1893,36,047
1210.00,Low,No,39.27,"$73,700","$28,942","$28,295",4258,98.71,4203,0,20,36,047
1214.00,Low,No,33.47,"$73,700","$24,667","$24,120",4465,99.53,4444,0,48,36,047
1220.00,Middle,No,80.95,"$73,700","$59,660","$58,328",5573,100.00,5573,381,1576,36,047
1237.00,Low,No,41.68,"$73,700","$30,718","$30,035",6522,16.36,1067,198,434,36,047
1502.00,Upper,No,157.97,"$73,700","$116,424","$113,816",2946,35.34,1041,542,908,36,047
1522.00,Upper,No,132.72,"$73,700","$97,815","$95,625",3755,62.64,2352,623,742,36,047
9901.00,Unknown,No,0.00,"$73,700",$0,$0,0,0.00,0,0,0,36,047
0194.00,Low,No,37.39,"$73,700","$27,556","$26,941",6861,95.06,6522,105,248,36,061
0195.00,Upper,No,224.15,"$73,700","$165,199","$161,494",7608,34.38,2616,928,25,36,061
0196.00,Moderate,No,56.87,"$73,700","$41,913","$40,977",4327,90.34,3909,19,39,36,061
0197.01,Unknown,No,0.00,"$73,700",$0,$0,939,54.21,509,0,23,36,061
0197.02,Middle,No,90.17,"$73,700","$66,455","$64,969",2127,67.18,1429,203,53,36,061
0198.00,Upper,No,138.83,"$73,700","$102,318","$100,023",2513,85.79,2156,407,160,36,061
0199.00,Upper,No,201.97,"$73,700","$148,852","$145,515",9722,36.37,3536,853,140,36,061
0200.00,Upper,No,133.37,"$73,700","$98,294","$96,094",3176,76.98,2445,344,513,36,061
0201.01,Upper,No,209.49,"$73,700","$154,394","$150,938",1807,45.66,825,56,6,36,061
0201.02,Middle,No,86.43,"$73,700","$63,699","$62,273",4290,76.90,3299,240,146,36,061
0203.00,Moderate,No,74.48,"$73,700","$54,892","$53,661",3142,45.19,1420,22,5,36,061
0205.00,Upper,No,216.87,"$73,700","$159,833","$156,250",5069,31.76,1610,256,34,36,061
