Tract Code,Total Housing Units,1-4 Family Units,Median House Age,Inside City?,Owner Occupied Units,Vacant Units,Owner Occupied 1-4 Fam Units,Renter Occupied,state,county
1028.00,522,497,49,Yes,268,31,253,223,36,047
1034.00,1678,32,57,Yes,0,0,0,1678,36,047
1058.01,3347,45,41,Yes,0,39,0,3308,36,047
1058.04,3175,149,40,Yes,145,175,124,2855,36,047
1070.00,474,341,8,Yes,220,10,215,244,36,047
1078.00,1942,857,51,Yes,957,196,498,789,36,047
1098.00,681,553,56,Yes,107,80,101,494,36,047
1104.00,1801,1191,59,Yes,476,198,449,1127,36,047
1106.00,1703,67,61,Yes,8,83,8,1612,36,047
1110.00,1544,19,60,Yes,9,66,9,1469,36,047
1116.00,1200,1119,46,Yes,253,164,253,783,36,047
1118.00,1261,1145,50,Yes,326,282,326,653,36,047
1120.00,1335,1027,56,Yes,294,232,294,809,36,047
1122.00,1215,874,69,Yes,212,98,212,905,36,047
1124.00,1262,955,76,Yes,368,123,368,771,36,047
1126.00,1472,937,65,Yes,237,192,237,1043,36,047
1128.00,1588,1378,76,Yes,404,194,392,990,36,047
1130.00,1475,904,55,Yes,314,81,314,1080,36,047
1132.00,723,631,24,Yes,375,73,375,275,36,047
1134.00,925,141,41,Yes,34,41,34,850,36,047
1142.01,627,593,76,Yes,337,67,337,223,36,047
1142.02,981,542,76,Yes,256,77,249,648,36,047
1144.00,869,440,65,Yes,107,97,99,665,36,047
1146.00,1029,759,76,Yes,239,60,239,730,36,047
1150.00,1043,819,51,Yes,200,135,196,708,36,047
1152.00,1117,853,47,Yes,231,117,218,769,36,047
1156.00,1676,503,44,Yes,86,102,86,1488,36,047
1158.00,1117,904,66,Yes,372,216,359,529,36,047
1160.00,954,612,32,Yes,289,85,281,580,36,047
1162.00,865,770,46,Yes,386,130,360,349,36,047
1164.00,1075,895,40,Yes,359,181,359,535,36,047
1166.00,1072,958,76,Yes,194,191,194,687,36,047
1168.00,733,623,76,Yes,82,169,82,482,36,047
1170.00,613,487,76,Yes,109,109,109,395,36,047
1172.01,848,713,76,Yes,292,91,292,465,36,047
1172.02,1383,1151,76,Yes,305,294,305,784,36,047
1174.00,1408,1408,76,Yes,384,317,384,707,36,047
1176.01,958,756,76,Yes,202,125,190,631,36,047
1176.02,1131,933,76,Yes,185,184,185,762,36,047
1178.00,574,558,76,Yes,110,80,110,384,36,047
1180.00,0,0,0,Yes,0,0,0,0,36,047
1182.01,1035,917,76,Yes,203,152,203,680,36,047
1182.02,1084,958,76,Yes,362,202,362,520,36,047
1184.00,1803,1713,76,Yes,586,391,586,826,36,047
1186.00,996,932,64,Yes,263,256,263,477,36,047
1188.00,1482,1104,76,Yes,242,223,242,1017,36,047
1190.00,741,629,76,Yes,213,41,213,487,36,047
1192.00,1328,1090,58,Yes,272,314,272,742,36,047
1194.00,1525,1240,59,Yes,371,423,371,731,36,047
