Tract Code,Tract Population,Tract Minority %,Number of Families,Number Households,Non Hispanic White Pop,tract_minority_pop,american_indian_pop,asian_islander_pop,black_population,hisplanic_population,mixed_population,state,county
1028.00,1529,97.25,386,491,42,1487,0,36,1398,53,0,36,047
1034.00,4029,92.11,1079,1678,318,3711,299,0,2400,966,46,36,047
1058.01,6403,73.95,1613,3308,1668,4735,18,2,3410,1244,61,36,047
1058.04,6416,75.98,1902,3000,1541,4875,57,357,3063,1329,69,36,047
1070.00,1141,99.39,348,464,7,1134,7,85,745,289,8,36,047
1078.00,3988,97.47,1043,1746,101,3887,0,0,3318,372,197,36,047
1098.00,2160,96.06,414,601,85,2075,18,42,1736,242,37,36,047
1104.00,4948,98.44,1066,1603,77,4871,0,0,3788,1064,19,36,047
1106.00,4438,100.00,1230,1620,0,4438,0,0,3336,1024,78,36,047
1110.00,3400,99.74,962,1478,9,3391,0,0,2345,807,239,36,047
1116.00,3739,96.58,697,1036,128,3611,0,0,2763,840,8,36,047
1118.00,2986,98.66,621,979,40,2946,0,0,2543,403,0,36,047
1120.00,3221,97.67,805,1103,75,3146,0,0,2250,896,0,36,047
1122.00,3755,94.43,950,1117,209,3546,34,78,2641,793,0,36,047
1124.00,3399,99.91,790,1139,3,3396,0,0,2807,520,69,36,047
1126.00,3826,96.16,961,1280,147,3679,0,44,2580,1055,0,36,047
1128.00,3829,94.28,945,1394,219,3610,0,70,3045,466,29,36,047
1130.00,4386,100.00,918,1394,0,4386,0,0,3598,788,0,36,047
1132.00,1917,100.00,489,650,0,1917,15,10,1685,179,28,36,047
1134.00,3107,99.32,618,884,21,3086,0,15,1906,1150,15,36,047
1142.01,1748,94.45,421,560,97,1651,0,87,350,1117,97,36,047
1142.02,2656,98.68,607,904,35,2621,0,26,1032,1514,49,36,047
1144.00,2587,98.92,574,772,28,2559,0,6,1547,969,37,36,047
1146.00,3119,99.07,737,969,29,3090,19,44,832,2118,77,36,047
1150.00,2776,99.39,542,908,17,2759,33,98,1301,1172,155,36,047
1152.00,3213,99.13,746,1000,28,3185,0,149,1980,886,170,36,047
1156.00,4154,99.66,1075,1574,14,4140,32,57,2636,1406,9,36,047
1158.00,2938,98.54,704,901,43,2895,0,0,1922,881,92,36,047
1160.00,2139,100.00,539,869,0,2139,0,22,1405,685,27,36,047
1162.00,2073,99.81,466,735,4,2069,0,19,1782,268,0,36,047
1164.00,3104,98.90,674,894,34,3070,0,60,1784,1185,41,36,047
1166.00,2865,97.45,691,881,73,2792,0,19,1696,950,127,36,047
1168.00,1579,97.21,342,564,44,1535,0,70,660,805,0,36,047
1170.00,1606,96.01,377,504,64,1542,0,50,462,964,66,36,047
1172.01,2536,97.56,634,757,62,2474,0,130,434,1843,67,36,047
1172.02,3121,96.19,808,1089,119,3002,0,91,1009,1846,56,36,047
1174.00,4268,97.54,900,1091,105,4163,0,533,561,3029,40,36,047
1176.01,3037,95.19,672,833,146,2891,0,84,578,2229,0,36,047
1176.02,2800,96.86,580,947,88,2712,0,39,458,2091,124,36,047
1178.00,1665,97.84,389,494,36,1629,0,250,446,849,84,36,047
1180.00,0,0.00,0,0,0,0,0,0,0,0,0,36,047
1182.01,3054,93.88,672,883,187,2867,0,135,455,2243,34,36,047
1182.02,2765,93.63,689,882,176,2589,0,106,347,2113,23,36,047
1184.00,5428,93.85,1114,1412,334,5094,0,670,603,3543,278,36,047
1186.00,2790,94.30,623,740,159,2631,25,248,764,1453,141,36,047
1188.00,4519,96.68,884,1259,150,4369,0,466,2685,1144,74,36,047
1190.00,2611,99.43,607,700,15,2596,0,119,911,1387,179,36,047
1192.00,3231,97.12,682,1014,93,3138,0,218,1583,1252,85,36,047
1194.00,3626,100.00,814,1102,0,3626,0,52,2484,1083,7,36,047
1196.00,4864,99.42,1206,1738,28,4836,27,782,2800,1098,129,36,047
1198.00,3538,97.12,744,1055,102,3436,16,61,1240,2089,30,36,047
1200.00,2230,94.71,397,606,118,2112,0,398,1063,632,19,36,047
1202.00,2057,93.29,440,522,138,1919,11,391,771,664,82,36,047
1208.00,8566,98.65,1922,3087,116,8450,0,173,7244,975,58,36,047
1210.00,4258,98.71,1003,1526,55,4203,10,0,2056,2086,51,36,047
1214.00,4465,99.53,1194,1601,21,4444,0,0,2866,1546,32,36,047
1220.00,5573,100.00,1337,2110,0,5573,0,66,4113,1233,161,36,047
1237.00,6522,16.36,1080,1314,5455,1067,0,77,216,714,60,36,047
1502.00,2946,35.34,722,1061,1905,1041,11,254,71,591,114,36,047
1522.00,3755,62.64,798,1078,1403,2352,10,736,735,579,292,36,047
9901.00,0,0.00,0,0,0,0,0,0,0,0,0,36,047
0194.00,6861,95.06,1425,2486,339,6522,0,168,2308,3860,186,36,061
